uuid	name	kind	latitude	longitude	note
15003d40-87d8-5784-ad52-12951bde989c	Büheli	PEAK	46.99885	9.73434	Summit for St. Antönien. Sourced from OpenStreetMap node 12040710440 (natural=peak, ele=1641 m); resort sheet top_elevation_m=1656 m, delta 15 m; furthest member 5.7 km. Confidence HIGH — verify placement before relying on it.
8cc97a22-1a83-5fae-83a9-6d3ae76d3c98	Caschlera	PEAK	46.57986	9.39016	Summit for Splügen. Sourced from OpenStreetMap node 12040710964 (natural=peak, ele=2182 m); resort sheet top_elevation_m=2215 m, delta 33 m; furthest member 5.8 km. Confidence MED — verify placement before relying on it.
97b1bc96-2c3e-509c-ad98-98853e592727	Chantota	PEAK	46.63207	9.66960	Summit for Bergün. Sourced from OpenStreetMap node 519825459 (natural=peak, ele=2542 m); resort sheet top_elevation_m=2550 m, delta 8 m; furthest member 5.9 km. Confidence HIGH — verify placement before relying on it.
4f6ec2ef-fa59-5d78-9808-311f66899710	Chaux de Mont	PEAK	46.37225	6.99807	Summit for Leysin. Sourced from OpenStreetMap node 9906221533 (natural=peak, ele=2206 m); resort sheet top_elevation_m=2198 m, delta 8 m; furthest member 3.6 km. Confidence HIGH — verify placement before relying on it.
61752eb3-19a4-5fdd-8839-fd6714cf6981	Chlis Fülhorn	PEAK	46.38515	8.19880	Summit for Bellwald. Sourced from OpenStreetMap node 3073533037 (natural=peak, ele=2544 m); resort sheet top_elevation_m=2558 m, delta 14 m; furthest member 5.3 km. Confidence HIGH — verify placement before relying on it.
0074b729-4c71-5108-96e8-758e63ea8eee	Chämmler	PEAK	46.91201	9.20941	Summit for Elm. Sourced from OpenStreetMap node 7806139202 (natural=peak, ele=2120 m); resort sheet top_elevation_m=2105 m, delta 15 m; furthest member 3.1 km. Confidence HIGH — verify placement before relying on it.
71ee11a6-04c9-508a-a0ee-a11a3cce688f	Corne de Sorebois	PEAK	46.15087	7.58661	Summit for Grimentz, Zinal. Sourced from OpenStreetMap node 381026879 (natural=peak, ele=2895 m); resort sheet top_elevation_m=2900 m, delta 5 m; furthest member 3.3 km. Confidence HIGH — verify placement before relying on it.
238559e4-9888-59f2-9147-a9be1a35cbb7	Costone	PEAK	46.51335	8.62800	Summit for Bedretto. Sourced from OpenStreetMap node 12040710729 (natural=peak, ele=1619 m); resort sheet top_elevation_m=1610 m, delta 9 m; furthest member 8.0 km. Confidence HIGH — verify placement before relying on it.
be8fa42e-b7ca-5ea2-82ad-46ee059d8ce9	Distelhorn	PEAK	46.18595	7.87072	Summit for Grächen. Sourced from OpenStreetMap node 1373136932 (natural=peak, ele=2830 m); resort sheet top_elevation_m=2864 m, delta 34 m; furthest member 2.8 km. Confidence MED — verify placement before relying on it.
0b2e19b7-0747-5b25-a3e5-5ff1ada1624b	Distelhorn	PEAK	46.27109	7.74405	Summit for Unterbäch. Sourced from OpenStreetMap node 5152598879 (natural=peak, ele=2451 m); resort sheet top_elevation_m=2443 m, delta 8 m; furthest member 3.4 km. Confidence HIGH — verify placement before relying on it.
5cae120c-33a5-508b-b6bc-a16bb31a8e9c	Fil	PEAK	46.80842	9.05975	Summit for Brigels/Waltensburg/Andiast. Sourced from OpenStreetMap node 247059072 (natural=peak, ele=2418 m); resort sheet top_elevation_m=2418 m, delta 0 m; furthest member 3.6 km. Confidence HIGH — verify placement before relying on it.
c3bf15ac-b231-5f9a-bb52-d1fbc7f26435	Furggabüel	PEAK	46.80449	9.49555	Summit for Chur Brambrüesch. Sourced from OpenStreetMap node 520395749 (natural=peak, ele=2174 m); resort sheet top_elevation_m=2174 m, delta 0 m; furthest member 3.9 km. Confidence HIGH — verify placement before relying on it.
3a725121-cc97-58dc-8425-321cdabdb927	Geissfluh	PEAK	46.58543	7.43931	Summit for Grimmialp. Sourced from OpenStreetMap node 3391590182 (natural=peak, ele=1848 m); resort sheet top_elevation_m=1833 m, delta 15 m; furthest member 4.0 km. Confidence HIGH — verify placement before relying on it.
ca75f7ea-9834-50c0-8eef-6f2b4b140bb0	Geissstock	PEAK	47.02715	8.68772	Summit for Mythenregion. Sourced from OpenStreetMap node 7968127472 (natural=peak, ele=1613 m); resort sheet top_elevation_m=1593 m, delta 20 m; furthest member 0.9 km. Confidence MED — verify placement before relying on it.
72a583f4-0d0a-5402-bcce-44ef35125402	Gemshorn	PEAK	46.12220	7.88715	Summit for Saas-Fee. Sourced from OpenStreetMap node 566646185 (natural=peak, ele=3548 m); resort sheet top_elevation_m=3573 m, delta 25 m; furthest member 3.5 km. Confidence MED — verify placement before relying on it.
3b5c6d8f-d8fb-5cea-adf5-b068d132c6eb	Gemsstock	PEAK	46.60198	8.61152	Summit for Andermatt. Sourced from OpenStreetMap node 309276896 (natural=peak, ele=2961 m); resort sheet top_elevation_m=2961 m, delta 0 m; furthest member 3.7 km. Confidence HIGH — verify placement before relying on it.
84fd9bec-6011-50af-9b38-4239497b14a2	Girenspitz	PEAK	47.25210	9.34121	Summit for Säntis - Schwägalp. Sourced from OpenStreetMap node 1379304606 (natural=peak, ele=2448 m); resort sheet top_elevation_m=2473 m, delta 25 m; furthest member 1.4 km. Confidence MED — verify placement before relying on it.
6760fcfd-d84e-5ec6-91e9-3318fb0f7a14	Glarner Vorab	PEAK	46.87985	9.15300	Summit for Flims, Laax. Sourced from OpenStreetMap node 896378106 (natural=peak, ele=3018 m); resort sheet top_elevation_m=3018 m, delta 0 m; furthest member 11.5 km. Confidence MED — verify placement before relying on it.
80340d0f-ed58-5ff7-952b-d7a69bda7806	Glattwang	PEAK	46.88087	9.71431	Summit for Fideriser Heuberge. Sourced from OpenStreetMap node 333616135 (natural=peak, ele=2376 m); resort sheet top_elevation_m=2356 m, delta 20 m; furthest member 0.6 km. Confidence MED — verify placement before relying on it.
0d8ef6e3-eeb8-58c8-86a7-1cdfa02facd5	Grotzligütsch	PEAK	46.99784	8.82074	Summit for Hoch-Ybrig. Sourced from OpenStreetMap node 12040711044 (natural=peak, ele=1838 m); resort sheet top_elevation_m=1831 m, delta 7 m; furthest member 3.0 km. Confidence HIGH — verify placement before relying on it.
70f358f7-1938-59aa-a6d6-d824ff2bf1f2	Guggernüll	PEAK	46.50198	9.48457	Summit for Avers. Sourced from OpenStreetMap node 5889059441 (natural=peak, ele=2535 m); resort sheet top_elevation_m=2539 m, delta 4 m; furthest member 4.0 km. Confidence HIGH — verify placement before relying on it.
ef5643d8-4baa-564e-8008-4af8cc570c00	Guggilihorn	PEAK	46.16498	8.08824	Summit for Saas-Almagell. Sourced from OpenStreetMap node 2531749375 (natural=peak, ele=2351 m); resort sheet top_elevation_m=2347 m, delta 4 m; furthest member 12.7 km. Confidence MED — verify placement before relying on it.
e62f04d4-2eac-5ad3-aa78-9b57a29ddb6e	Heidenbüel	PEAK	47.17545	9.13170	Summit for Amden-Arvenbüel. Sourced from OpenStreetMap node 12040710325 (natural=peak, ele=1675 m); resort sheet top_elevation_m=1684 m, delta 9 m; furthest member 2.8 km. Confidence HIGH — verify placement before relying on it.
ba4e13ba-d43a-536d-bafb-8742cad55464	Hungbüchel	PEAK	47.16822	9.24888	Summit for Alt St. Johann - Sellamatt. Sourced from OpenStreetMap node 12040678062 (natural=peak, ele=1630 m); resort sheet top_elevation_m=1620 m, delta 10 m; furthest member 3.5 km. Confidence HIGH — verify placement before relying on it.
68f1cea0-2749-5ce3-a7a5-546747a6aced	Höhi Egg	PEAK	46.74926	8.26944	Summit for Meiringen, Hasliberg. Sourced from OpenStreetMap node 12915588540 (natural=peak, ele=2439 m); resort sheet top_elevation_m=2433 m, delta 6 m; furthest member 6.7 km. Confidence HIGH — verify placement before relying on it.
61a2fbc7-6f69-5631-82e0-023fd9992efe	Höreli	PEAK	47.00050	9.68314	Summit for Grüsch Danusa. Sourced from OpenStreetMap node 12040710358 (natural=peak, ele=1798 m); resort sheet top_elevation_m=1800 m, delta 2 m; furthest member 4.3 km. Confidence HIGH — verify placement before relying on it.
dac86d7b-1060-5477-8835-9c1941ec9e02	Jegihorn	PEAK	46.15146	7.97026	Summit for Saas-Grund. Sourced from OpenStreetMap node 3039988405 (natural=peak, ele=3206 m); resort sheet top_elevation_m=3200 m, delta 6 m; furthest member 3.9 km. Confidence HIGH — verify placement before relying on it.
0e5b92ca-524c-52d2-a20b-0490ca645437	Klein Storchen	PEAK	46.83119	8.35386	Summit for Haldigrat. Sourced from OpenStreetMap node 6321686679 (natural=peak, ele=1936 m); resort sheet top_elevation_m=1937 m, delta 1 m; furthest member 9.3 km. Confidence MED — verify placement before relying on it.
b87de6e6-595a-5c40-9fea-6004c91002e8	Klingenstock	PEAK	46.95743	8.67458	Summit for Stoos. Sourced from OpenStreetMap node 614398396 (natural=peak, ele=1935 m); resort sheet top_elevation_m=1935 m, delta 0 m; furthest member 2.6 km. Confidence HIGH — verify placement before relying on it.
f09a818f-4722-53aa-96f6-1be2f553b001	La Bréchette	PEAK	46.19367	7.48934	Summit for Nax - Mont-Noble. Sourced from OpenStreetMap node 459849510 (natural=peak, ele=2661 m); resort sheet top_elevation_m=2640 m, delta 21 m; furthest member 6.4 km. Confidence MED — verify placement before relying on it.
226d1ad0-3036-54d7-9d26-2e53bb1f48aa	La Guardia	PEAK	46.45771	9.13128	Summit for San Bernardino. Sourced from OpenStreetMap node 10237991566 (natural=peak, ele=2523 m); resort sheet top_elevation_m=2525 m, delta 2 m; furthest member 4.7 km. Confidence HIGH — verify placement before relying on it.
96daa353-d07a-59be-8699-efadccaada8f	Lauberhorn	PEAK	46.59252	7.94803	Summit for Grindelwald, Wengen. Sourced from OpenStreetMap node 272880580 (natural=peak, ele=2472 m); resort sheet top_elevation_m=2472 m, delta 0 m; furthest member 7.7 km. Confidence HIGH — verify placement before relying on it.
b911163e-af37-5d92-b232-b8de6e6d1d0b	Le Baté	PEAK	46.32675	7.40265	Summit for Anzère. Sourced from OpenStreetMap node 459849469 (natural=peak, ele=2421 m); resort sheet top_elevation_m=2420 m, delta 1 m; furthest member 3.8 km. Confidence HIGH — verify placement before relying on it.
4f1d6f00-6fa5-5d99-a3ea-bd81c0fd580f	Le Chamossaire	PEAK	46.32682	7.06134	Summit for Villars-sur-Ollon, Gryon, Les Diablerets. Sourced from OpenStreetMap node 281285393 (natural=peak, ele=2112 m); resort sheet top_elevation_m=2120 m, delta 8 m; furthest member 7.8 km. Confidence HIGH — verify placement before relying on it.
1c50c21a-643e-5f4b-a4f9-aee525011dea	Le Moléson	PEAK	46.54894	7.01714	Summit for Moléson. Sourced from OpenStreetMap node 459850004 (natural=peak, ele=2002 m); resort sheet top_elevation_m=1978 m, delta 24 m; furthest member 0.9 km. Confidence MED — verify placement before relying on it.
85f21bfd-5022-5455-9cf8-a59048a85eb5	Le Touenno	PEAK	46.11284	7.37651	Summit for Evolène. Sourced from OpenStreetMap node 12040710098 (natural=peak, ele=2617 m); resort sheet top_elevation_m=2632 m, delta 15 m; furthest member 9.2 km. Confidence MED — verify placement before relying on it.
4acbaa81-018e-5950-9ce1-404bd637c7bd	Leiterli	PEAK	46.42542	7.40596	Summit for Lenk. Sourced from OpenStreetMap node 4663455686 (natural=peak, ele=2000 m); resort sheet top_elevation_m=2001 m, delta 1 m; furthest member 4.6 km. Confidence HIGH — verify placement before relying on it.
ccd6d058-9909-5af4-8bdb-2c55fc30cdae	Luser	PEAK	46.46032	7.57899	Summit for Adelboden. Sourced from OpenStreetMap node 12040710766 (natural=peak, ele=2182 m); resort sheet top_elevation_m=2200 m, delta 18 m; furthest member 3.9 km. Confidence MED — verify placement before relying on it.
f2a78080-0be7-52cf-8111-e75706b4ce55	Luy Blanche	PEAK	46.04150	7.12023	Summit for La Fouly. Sourced from OpenStreetMap node 459849602 (natural=peak, ele=2195 m); resort sheet top_elevation_m=2172 m, delta 23 m; furthest member 12.0 km. Confidence MED — verify placement before relying on it.
f2a78080-0be7-52cf-8111-e75706b4ce55	Luy Blanche	PEAK	46.04150	7.12023	Summit for Champex. Sourced from OpenStreetMap node 459849602 (natural=peak, ele=2195 m); resort sheet top_elevation_m=2194 m, delta 1 m; furthest member 1.3 km. Confidence HIGH — verify placement before relying on it.
9e4a9850-da45-525a-9c79-fa76382e8be6	Malakoff	PEAK	46.78426	9.58302	Summit for Tschiertschen. Sourced from OpenStreetMap node 1208683401 (natural=peak, ele=2358 m); resort sheet top_elevation_m=2381 m, delta 23 m; furthest member 4.0 km. Confidence MED — verify placement before relying on it.
e82198bc-8a47-55e9-9273-586cdf9d67fe	Mont Fort	PEAK	46.08096	7.31867	Summit for Verbier, Nendaz, Veysonnaz. Sourced from OpenStreetMap node 60030574 (natural=peak, ele=3329 m); resort sheet top_elevation_m=3330 m, delta 1 m; furthest member 12.9 km. Confidence MED — verify placement before relying on it.
8e3980fc-327a-52f8-ad5e-f2fcd49490eb	Mont des Ritses	PEAK	46.06445	7.46815	Summit for Arolla. Sourced from OpenStreetMap node 12040710399 (natural=peak, ele=2915 m); resort sheet top_elevation_m=2877 m, delta 38 m; furthest member 4.6 km. Confidence MED — verify placement before relying on it.
5b7aad38-f639-59e7-85e2-ccb83ca685da	Montalin	PEAK	46.86361	9.59040	Summit for Hochwang. Sourced from OpenStreetMap node 1372812083 (natural=peak, ele=2266 m); resort sheet top_elevation_m=2299 m, delta 33 m; furthest member 1.8 km. Confidence MED — verify placement before relying on it.
4acc50f9-7137-55c6-a510-4e6efc7b426a	Mottarone	PEAK	46.46765	8.86619	Summit for Carì. Sourced from OpenStreetMap node 1372958860 (natural=peak, ele=2286 m); resort sheet top_elevation_m=2280 m, delta 6 m; furthest member 3.0 km. Confidence HIGH — verify placement before relying on it.
b942141c-2a84-55a1-af36-32e1b5f02806	Murmelchopf	PEAK	46.78539	8.25074	Summit for Melchsee-Frutt. Sourced from OpenStreetMap node 5463945525 (natural=peak, ele=2255 m); resort sheet top_elevation_m=2255 m, delta 0 m; furthest member 1.8 km. Confidence HIGH — verify placement before relying on it.
b33b895f-8b58-5cae-8830-e443a3e49853	Niederhorn	PEAK	46.71171	7.77709	Summit for Beatenberg. Sourced from OpenStreetMap node 419287414 (natural=peak, ele=1963 m); resort sheet top_elevation_m=1945 m, delta 18 m; furthest member 2.1 km. Confidence MED — verify placement before relying on it.
f537bd5b-d79e-5f32-9112-ddaa8d10f750	Ochse	PEAK	46.60088	7.59385	Summit for Frutigen. Sourced from OpenStreetMap node 4673216574 (natural=peak, ele=2272 m); resort sheet top_elevation_m=2289 m, delta 17 m; furthest member 4.2 km. Confidence MED — verify placement before relying on it.
606b4710-e84d-5198-b05b-6e401807e1b2	Piz Arlos	PEAK	46.55882	9.58381	Summit for Savognin. Sourced from OpenStreetMap node 2478052856 (natural=peak, ele=2696 m); resort sheet top_elevation_m=2713 m, delta 17 m; furthest member 4.5 km. Confidence MED — verify placement before relying on it.
7a319249-b823-5e04-a766-439deff73229	Piz Nair	PEAK	46.50640	9.78737	Summit for St. Moritz. Sourced from OpenStreetMap node 309542784 (natural=peak, ele=3057 m); resort sheet top_elevation_m=3057 m, delta 0 m; furthest member 3.9 km. Confidence HIGH — verify placement before relying on it.
c7f39150-34ec-52dc-9b61-d4c76b17b307	Piz Pali	PEAK	46.71191	8.73355	Summit for Sedrun. Sourced from OpenStreetMap node 1372363600 (natural=peak, ele=2601 m); resort sheet top_elevation_m=2600 m, delta 1 m; furthest member 4.9 km. Confidence HIGH — verify placement before relying on it.
e81a739d-02e7-50ed-bd03-75da210e5711	Pizzo di Fieud	PEAK	46.53352	8.55869	Summit for Airolo. Sourced from OpenStreetMap node 12040711126 (natural=peak, ele=2235 m); resort sheet top_elevation_m=2250 m, delta 15 m; furthest member 3.7 km. Confidence HIGH — verify placement before relying on it.
b2ff92dd-39e0-5a06-8876-ff24061f48f7	Pointe de la Plaine Morte	PEAK	46.37073	7.48685	Summit for Crans-Montana. Sourced from OpenStreetMap node 511103771 (natural=peak, ele=2927 m); resort sheet top_elevation_m=2927 m, delta 0 m; furthest member 6.5 km. Confidence HIGH — verify placement before relying on it.
6017607b-0380-577e-9883-3ed0192af5e8	Reissend Nollen	PEAK	46.76648	8.40091	Summit for Engelberg. Sourced from OpenStreetMap node 1244933958 (natural=peak, ele=3003 m); resort sheet top_elevation_m=3020 m, delta 17 m; furthest member 6.2 km. Confidence MED — verify placement before relying on it.
2c181cb8-24f0-5d81-96bf-c819fcd60c6a	Rinderbalm	PEAK	46.89115	8.44769	Summit for Bannalp. Sourced from OpenStreetMap node 12040710488 (natural=peak, ele=1827 m); resort sheet top_elevation_m=1793 m, delta 34 m; furthest member 2.9 km. Confidence MED — verify placement before relying on it.
b57fa53e-83f5-5ad6-9d00-48d21531fffb	Rocher à Pointes	PEAK	46.46188	7.20137	Summit for Rougemont - La Videmanette. Sourced from OpenStreetMap node 3860848036 (natural=peak, ele=2167 m); resort sheet top_elevation_m=2151 m, delta 16 m; furthest member 2.9 km. Confidence MED — verify placement before relying on it.
31016301-0d4c-5551-b627-f4cd36cf0988	Rochers de Naye	PEAK	46.43182	6.97605	Summit for Rochers-de-Naye. Sourced from OpenStreetMap node 26864467 (natural=peak, ele=2042 m); resort sheet top_elevation_m=2012 m, delta 30 m; furthest member 0.4 km. Confidence MED — verify placement before relying on it.
a0d6d3c7-ed8c-5b55-8d64-a29d45508574	Rothorn	PEAK	46.24424	7.64329	Summit for St-Luc, Chandolin. Sourced from OpenStreetMap node 567355329 (natural=peak, ele=2998 m); resort sheet top_elevation_m=3000 m, delta 2 m; furthest member 4.2 km. Confidence HIGH — verify placement before relying on it.
43beae26-b9ec-5a32-91ad-709324e13c32	Ruchegg	PEAK	47.10147	8.70339	Summit for Brunni - Alpthal. Sourced from OpenStreetMap node 6902683550 (natural=peak, ele=1225 m); resort sheet top_elevation_m=1200 m, delta 25 m; furthest member 4.5 km. Confidence MED — verify placement before relying on it.
97e67772-2ac9-5cdc-9e69-6f0bdd2ec303	Scheideggstock	PEAK	46.82715	8.35360	Summit for Brunni - Engelberg. Sourced from OpenStreetMap node 6321686678 (natural=peak, ele=2077 m); resort sheet top_elevation_m=2075 m, delta 2 m; furthest member 3.5 km. Confidence HIGH — verify placement before relying on it.
15e3c3cc-6682-56a2-a445-5acf0a2c4393	Schilthorn	PEAK	46.36012	7.91197	Summit for Blatten-Belalp. Sourced from OpenStreetMap node 5775645988 (natural=peak, ele=3122 m); resort sheet top_elevation_m=3118 m, delta 4 m; furthest member 5.8 km. Confidence HIGH — verify placement before relying on it.
a97a66ee-4bca-5e4b-b792-ccaca6983572	Schilthorn	PEAK	46.55728	7.83517	Summit for Mürren. Sourced from OpenStreetMap node 271904229 (natural=peak, ele=2973 m); resort sheet top_elevation_m=2970 m, delta 3 m; furthest member 4.5 km. Confidence HIGH — verify placement before relying on it.
fb6c02f0-d2fb-577d-b31d-fe3b03339935	Schongütsch	PEAK	46.78891	8.03660	Summit for Sörenberg. Sourced from OpenStreetMap node 950753511 (natural=peak, ele=2319 m); resort sheet top_elevation_m=2298 m, delta 21 m; furthest member 3.7 km. Confidence MED — verify placement before relying on it.
4e91f849-2dba-54ad-aca9-9b138ead7ac1	Schwarzhorn	PEAK	46.38363	7.81409	Summit for Lötschental. Sourced from OpenStreetMap node 2433999069 (natural=peak, ele=3126 m); resort sheet top_elevation_m=3100 m, delta 26 m; furthest member 3.2 km. Confidence MED — verify placement before relying on it.
2b3b0d48-26b2-586d-915f-235a9919f30a	Seebüel	PEAK	46.39453	7.33823	Summit for Lauenen. Sourced from OpenStreetMap node 4664633440 (natural=peak, ele=1430 m); resort sheet top_elevation_m=1405 m, delta 25 m; furthest member 4.9 km. Confidence MED — verify placement before relying on it.
4958c66c-7ed2-5df2-872b-675fae140ff5	Spalt	PEAK	47.10488	9.41621	Summit for Flumserberg. Sourced from OpenStreetMap node 9678276738 (natural=peak, ele=2229 m); resort sheet top_elevation_m=2222 m, delta 7 m; furthest member 5.7 km. Confidence HIGH — verify placement before relying on it.
07604fe5-d70b-533c-8d0f-0ff8a3959514	Spitzhubel	PEAK	46.67899	7.33844	Summit for Jaun. Sourced from OpenStreetMap node 5542874118 (natural=peak, ele=1556 m); resort sheet top_elevation_m=1571 m, delta 15 m; furthest member 8.9 km. Confidence MED — verify placement before relying on it.
8428cd3e-eb06-55bc-8658-257935e02926	Tgom'Aulta	PEAK	46.79800	9.47464	Summit for Sarn (Heinzenberg). Sourced from OpenStreetMap node 12040711213 (natural=peak, ele=2085 m); resort sheet top_elevation_m=2075 m, delta 10 m; furthest member 7.0 km. Confidence HIGH — verify placement before relying on it.
57d8adce-01f3-5287-8fde-08f6e3ceece3	Tête du Lévanchy	PEAK	46.39734	7.14418	Summit for Les Mosses-La Lécherette. Sourced from OpenStreetMap node 12040710756 (natural=peak, ele=1879 m); resort sheet top_elevation_m=1874 m, delta 5 m; furthest member 3.4 km. Confidence HIGH — verify placement before relying on it.
3e6481a4-f5ae-5957-a601-76c9f98fc255	Uf Fersyn	PEAK	46.39916	7.72858	Summit for Leukerbad. Sourced from OpenStreetMap node 12040710519 (natural=peak, ele=2607 m); resort sheet top_elevation_m=2610 m, delta 3 m; furthest member 7.9 km. Confidence HIGH — verify placement before relying on it.
71b404ef-9c06-5322-9602-248cbaf0808c	Vordere Spitz	PEAK	46.50887	7.35742	Summit for Zweisimmen. Sourced from OpenStreetMap node 6140600149 (natural=peak, ele=2014 m); resort sheet top_elevation_m=2011 m, delta 3 m; furthest member 5.2 km. Confidence HIGH — verify placement before relying on it.
afa6bdb8-b319-5d84-b5b8-608178dc984a	Vounetse	PEAK	46.62639	7.20775	Summit for Charmey. Sourced from OpenStreetMap node 3788991304 (natural=peak, ele=1627 m); resort sheet top_elevation_m=1626 m, delta 1 m; furthest member 3.4 km. Confidence HIGH — verify placement before relying on it.
2fe8b352-6c83-5fd5-8a27-a24d1c65275a	Wannelschilchli	PEAK	46.68187	7.37233	Summit for Schwarzsee. Sourced from OpenStreetMap node 9244477779 (natural=peak, ele=1763 m); resort sheet top_elevation_m=1751 m, delta 12 m; furthest member 7.3 km. Confidence HIGH — verify placement before relying on it.
1f34d133-6148-5bd4-9a53-36cdcbad031e	Weissflue	PEAK	46.83463	9.79476	Summit for Davos, Klosters. Sourced from OpenStreetMap node 3434804368 (natural=peak, ele=2843 m); resort sheet top_elevation_m=2844 m, delta 1 m; furthest member 7.9 km. Confidence HIGH — verify placement before relying on it.
47c8c0e3-54bf-5858-9880-9c84fc36dc07	Weisshorn	PEAK	46.78959	9.63878	Summit for Arosa. Sourced from OpenStreetMap node 309278135 (natural=peak, ele=2653 m); resort sheet top_elevation_m=2653 m, delta 0 m; furthest member 3.2 km. Confidence HIGH — verify placement before relying on it.
eb44b56b-502a-5a32-a244-1bd716bd6f9c	Wellenkuppe	PEAK	46.04199	7.67786	Summit for Zermatt. Sourced from OpenStreetMap node 3042780282 (natural=peak, ele=3903 m); resort sheet top_elevation_m=3899 m, delta 4 m; furthest member 5.8 km. Confidence HIGH — verify placement before relying on it.
2ed85fed-a5aa-5973-9e2a-f33dc9906bd4	Zingel	PEAK	46.92273	8.51979	Summit for Klewenalp-Stockhütte. Sourced from OpenStreetMap node 906932480 (natural=peak, ele=1905 m); resort sheet top_elevation_m=1938 m, delta 33 m; furthest member 3.3 km. Confidence MED — verify placement before relying on it.
