uuid	name	name_alt	operator_name	website	top_elevation_m	base_elevation_m	num_runs	num_lifts	total_piste_km	typical_season_open	typical_season_close	note
f2629ed9-dd68-4f70-bfef-4b2a0d184108	Corvatsch	Upper Engadin	Corvatsch AG	https://www.corvatsch-diavolezza.ch	3303	1870	26	14	120	11-21	04-25	Corvatsch (Silvaplana-Surlej) run as one domain with Furtschellas; 3303 m is the highest lift point in Graubünden
921ae01c-f7ec-4c11-a78d-bcdcf4c5f03e	Diavolezza	Upper Engadin	Diavolezza Lagalb AG	https://www.corvatsch-diavolezza.ch	2978	2093		4		10-17	05-02	Diavolezza sector only; piste km not published per sector (Diavolezza+Lagalb combined = 35 km / 5 lifts)
29e257f8-af9a-4778-b88e-2a7f57d50b0e	Bernina Pass											NOT_A_SKI_RESORT - road/rail pass (2328 m); the lift areas nearby are Diavolezza and Lagalb
43e828fc-dcc0-4136-bebc-9d6be9111dac	Zuoz	Lower Engadin	Sessel- und Skilifte Zuoz AG	https://www.zuozski.ch	2465	1716	11	5	15	12-19	03-14	Small local Pizzet/Albanas area, unconnected. Zuoz is Upper, not Lower, Engadin
a72da63f-6c7c-4723-8b82-a05e55b8790b	Zernez	Lower Engadin										NOT_A_SKI_RESORT - no lifts; cross-country centre and Swiss National Park gateway
0b70683f-96d6-41d7-82c6-d83d17aed6f4	La Punt	Lower Engadin	Skilift Müsella La Punt-Chamues-ch	https://www.engadin.ch	1787	1698		2	1			Not a resort: one 1 km beginner slope, 2 practice lifts. Roughly mid-Dec to mid-Mar; dates not published
0e5df28c-c20d-45f0-986a-300855effe0b	Val Chamuera	Samedan area										NOT_A_SKI_RESORT - side valley above La Punt/Madulain, ski touring only
04f0cd24-b0d4-4289-8c32-4184cc725dc6	Scuol	Lower Engadin	Bergbahnen Scuol AG	https://www.bergbahnen-scuol.ch	2785	1250	25	12	70	12-13	04-12	Motta Naluns; access from Scuol, Ftan and Sent. Some sources quote 80 km incl. valley runs
aa34104c-a8cf-4033-a65a-5298ef9ff0ff	Ftan	Lower Engadin	Bergbahnen Scuol AG	https://www.bergbahnen-scuol.ch	2785	1648	25	12	70	12-13	04-12	Village on the Motta Naluns domain via the Ftan-Prui chairlift
95f516ff-b882-4fc3-8471-32e020104339	Samnaun		Bergbahnen Samnaun AG	https://www.samnaun.ch	2872	1840	78	45	239	11-26	05-02	Swiss side of the cross-border Silvretta Arena Samnaun/Ischgl; figures are the whole binational domain
51a404d8-4ff6-45a3-8144-0c80a20d8979	Ischgl (CH side)	Samnaun	Silvrettaseilbahn AG	https://www.ischgl.com	2872	1377	78	45	239	11-26	05-02	DUPLICATE of Samnaun - same domain from the Austrian side. Ischgl (1377 m) is in Tyrol, AT. Do not sum with Samnaun
e5acc8aa-e371-4db2-992e-b169e91277dc	östliche Silvretta											NOT_A_SKI_RESORT - regional touring/avalanche-bulletin label, not a lift-served area
614ebf8f-92ee-4a82-ae97-e8b0642dff44	Val dal Spöl	Swiss Nat. Park										NOT_A_SKI_RESORT - inside Swiss National Park; skiing and off-path travel prohibited
ee7e9261-4f1e-44bc-9442-d189770dbff8	Val S-charl	Lower Engadin										NOT_A_SKI_RESORT - quiet side valley south of Scuol, touring and snowshoeing only
29beaae9-f665-4c5c-94da-b0f43f92d40f	Val Suot	Scuol area										NOT_A_SKI_RESORT - side valley in the Scuol/Zernez area, touring terrain only
9e8890d8-ecac-44ae-a616-544c0492e915	Münstertal	Val Müstair	Sportanlagen AG Val Müstair	https://www.minschuns.ch	2700	2150		4	25	12-19	03-21	Minschuns area above Tschierv; lift base Alp da Munt 2150 m, valley villages 1250-1660 m
2f5d441a-c356-4d91-96c4-6b4e5fd023f1	Santa Maria VM	Val Müstair	Sportanlagen AG Val Müstair	https://www.val-muestair.ch	2700	1386		4	25	12-19	03-21	Village (1386 m) with no lifts of its own; figures are the shared Minschuns area
a28c35ce-b660-422b-b3f2-9af56b2f8144	Poschiavo	Valposchiavo		https://valposchiavo.ch				1				Valley town (~1014 m) with only a small children's tow at Viale; no marked ski area
2257396d-83be-4b42-a2f6-171445f817cc	oberes Puschlav	Livigno area										NOT_A_SKI_RESORT - upper Val Poschiavo/Bernina area; touring and cross-country only, Livigno's lifts are in Italy
c68d26de-f28f-4cf5-8c4b-025209568bba	Bergell	Val Bregaglia	Bregaglia Engadin Turismo	https://www.bregaglia.ch	1601	1471	1	1	0.6	12-26	03-15	Val Bregaglia is mostly touring; only lift-served skiing is the Sur Cresta tow at Casaccia
47a8493c-1e5a-47ac-b8c5-d47846c5f357	Maloja	Bergell	Bregaglia Engadin Turismo	https://www.bregaglia.ch	2100	1817	2	2	3	12-19	03-07	Small Aela T-bar plus pony lift. Operator announced Aela stays closed for winter 2026/27 for maintenance
cfb1b956-4051-4c28-b5b9-88a0067cc6e5	Davos	Davos Klosters	Davos Klosters Bergbahnen AG	https://www.davos.ch	2844	1560		57	300	11-07	04-11	Operator figures for the whole Davos Klosters network (Parsenn, Jakobshorn, Rinerhorn, Pischa, Schatzalp, Madrisa)
e2b9b0bc-c32d-4118-8a61-0b6fb338bc35	Klosters	Davos Klosters	Davos Klosters Bergbahnen AG	https://www.davos.ch	2844	1191		57	300	11-07	04-11	Same network/pass as Davos; Klosters' own mountains are Madrisa (26 km, 9 lifts) and Gotschna
6c9af0f7-a50c-4a03-8eb3-c63958aa13fa	Parsenn	Davos Klosters	Davos Klosters Bergbahnen AG	https://www.davosklostersmountains.ch	2844	810		18	95.5	11-07	04-11	Sector, not a standalone resort. Base 810 m is Küblis, foot of the 12 km Weissfluhgipfel-Küblis run
b636f01d-9ea0-4bc0-b64b-e7cd144faaf7	Arosa	Arosa Lenzerheide	Arosa Bergbahnen AG	https://arosalenzerheide.swiss	2653	1775	17	14	70	11-29	04-12	Arosa sector only; linked to Lenzerheide by the Urdenbahn (combined domain 225 km / 43 lifts)
2c2224c1-489f-465f-9af5-88f6bd3239d5	Lenzerheide	Arosa Lenzerheide	Lenzerheide Bergbahnen AG	https://arosalenzerheide.swiss	2865	1470	58	29	155	11-29	04-12	Lenzerheide sector (includes Churwalden lifts); combined Arosa Lenzerheide domain 225 km / 43 lifts
4fb3f3c9-8c22-48b8-b59c-8552cd18b4d8	Churwalden		Lenzerheide Bergbahnen AG	https://arosalenzerheide.swiss	2865	1229	58	29	155	11-29	04-12	Churwalden (1229 m) is the lowest base of the Lenzerheide domain
29d58cbc-76ee-4ef7-86fb-fed0be667c82	Küblis	Prättigau										NOT_A_SKI_RESORT - valley village and rail stop; finish of the Parsenn descent. Madrisa's lifts start at Klosters Dorf
0eeb9249-1c61-46eb-8db2-e9bab288992c	Schiers	Prättigau										NOT_A_SKI_RESORT - valley town; the Schiers-Stels cableway is public transport, not a ski lift
1e36f1f3-3181-44ab-bff0-c60b00a899b6	Conters	südl. Prättigau										NOT_A_SKI_RESORT - small village, no lifts; nearest are Pany-Luzein and Grüsch Danusa
186c3955-ab02-4dd7-b67d-c45a9bbada2b	westl. Silvretta	Prättigau										NOT_A_SKI_RESORT - regional ski-touring / avalanche-bulletin label, not a resort
34693526-1076-4f89-8a58-06ad1a54d88b	Flims	Flims Laax	Weisse Arena Bergbahnen AG	https://www.laax.com	3018	1100	55	30	216	11-28	04-11	Village of the connected Flims Laax Falera domain; figures are domain-wide
4d8ef9bc-8222-4d75-be92-2aff7f444897	Laax	Flims Laax	Weisse Arena Bergbahnen AG	https://www.laax.com	3018	1100	55	30	216	11-28	04-11	Village of the connected Flims Laax Falera domain; other databases quote 224 km / 28 lifts
bf1c87fb-50fc-4bdd-af15-7041dedc5ef2	Falera	Flims Laax	Weisse Arena Bergbahnen AG	https://www.laax.com	3018	1100	55	30	216	11-28	04-11	Village of the connected Flims Laax Falera domain; Falera village sits at ~1220 m
83a7bf69-1971-4f7e-a110-994c4e90fe36	Disentis	Disentis/Mustér	Bergbahnen Disentis AG	https://www.disentis.fun	2833	1227	21	12	60	11-28	04-06	Disentis 3000; daily operation from ~12-20. Separate, unconnected domain from Sedrun
6fd137fc-278d-4930-bd44-5766ff661281	Obersaxen		Bergbahnen Obersaxen Mundaun AG	https://www.obersaxen-mundaun.ch	2310	1201	49	15	120	12-06	04-06	Obersaxen Mundaun Val Lumnezia; Graubünden Tourism quotes 117 km, operator ~120 km
5ac9177a-51c2-486c-b4d3-899e61248a38	Safiental		Genossenschaft Skilift Tenna	https://solar-skilift.ch	1791	1656		1	4	12-20	03-08	Only lift-served skiing in Safiental is the single Tenna solar ski lift; rest of the valley is touring
0b87990f-145c-4463-bfeb-f7ad24589bd3	Vals		Sportbahnen Vals AG	https://vals.ch	2851	1250	10	6	25	12-19	04-04	Vals-Dachberg; gondola Vals-Gadastatt plus drag lifts
73e0a5b2-5330-4039-a932-4b1b1d17a564	Zervreila											NOT_A_SKI_RESORT - reservoir and hamlet at the head of the Valsertal; nearest lifts are Vals-Dachberg
9a9c96af-1564-43ac-b924-c40f44af6597	Thusis	Domleschg										NOT_A_SKI_RESORT - valley town (~720 m); all nearby lifts are in Tschappina/Urmein on the Heinzenberg
101c4069-309e-4a02-aeb4-e6eb1a07bb17	Schams	Viamala										NOT_A_SKI_RESORT - no operating lift area (Zillis-Schamserberg defunct); sledging and winter hiking only
aa86cfde-2f39-416e-8aa9-8572d4845a7d	Splügen	Rheinwald	Bergbahnen Splügen-Tambo AG	https://www.spluegen.ch	2215	1484	14	7	30	12-19	04-04	Largest area in the Viamala/Rheinwald region. Graubünden Tourism quotes 6 lifts / 33 km
b7cbb696-32b0-4375-a77f-fbbe99cc4b3a	Hinterrhein	Rheinwald										NOT_A_SKI_RESORT - hamlet (~1620 m) at the head of the Rheinwald, cross-country only. Nearest area Splügen
0d1aa0d2-de02-446f-bf0a-cefd87faf7a7	Bivio		Bivio Sportanlagen AG	https://www.schneesportbivio.ch	2560	1769	14	4	27	12-19	04-11	Small independent area; official site claims 30+ km, databases give 27 km. Weekend-only in early Dec
cb5977be-952a-463a-84df-a331efafd26a	Avers	Cresta	Avers Skibetriebs AG	https://skiferien-graubuenden.ch	2539	1988		3	8	12-20	04-12	Very small high-altitude area at Avers-Juppa; mostly steep/ungroomed. Run count not published
64597f5e-8214-46b7-9446-4f5f262358bf	Savognin	Surses	Savognin Bergbahnen AG	https://www.valsurses.ch	2713	1200	25	12	70	12-06	04-06	Full resort in Surses/Parc Ela; skiresort.info gives 73.5 km / base 1168 m
32cf26e9-55a6-41c6-b0c6-5bf21ffbd066	Bergün	Albulatal	Bergün Filisur Tourismus AG	https://www.berguen-filisur.graubuenden.ch	2550	1384		5	25	12-20	03-15	Darlux plus village beginner lifts; partly weekend/holiday operation. Also the 6 km Preda-Bergün sledge run
f9333774-9ffa-439f-9a20-8df4f0539ae3	Filisur	Albulatal										NOT_A_SKI_RESORT - village (~1030 m) with no lifts; all lifts are at Bergün ~6 km away
aed8467e-cae9-4c42-8cd8-80510b9eb10f	Arosa east	Plessur	Arosa Bergbahnen AG	https://arosalenzerheide.swiss	2653	1775	17	16	70	11-29	04-12	Arosa east / Plessur' is a district label, not a distinct resort. DUPLICATE of the Arosa row
d48e011b-ff81-41f1-9985-a6513d1f523c	Ilanz	Vorderrhein										NOT_A_SKI_RESORT - valley town (~700 m) in the Surselva; gateway to Obersaxen-Mundaun and Val Lumnezia
7ba892a8-e129-46f5-9c95-fe1391e56efc	Grindelwald	Jungfrau Region	Jungfraubahnen	https://www.jungfrau.ch	2472	1034	59	22	103	11-29	04-26	Shares the Kleine Scheidegg/Männlichen domain with Wengen. Grindelwald-First is a separate area, not included
10f80c71-bc57-4b07-8e79-9affe54a51ac	Wengen	Jungfrau Region	Jungfraubahnen	https://www.jungfrau.ch	2472	1274	59	22	103	11-29	04-26	Same shared domain as Grindelwald; base given is Wengen village (domain low point is 1034 m)
1b199d73-600d-4921-9b15-4b45a6d67d9b	Mürren	Jungfrau Region	Schilthornbahn AG	https://muerren.swiss	2970	796		13	51	11-22	05-03	Separate Mürren-Schilthorn domain, NOT lift-connected to Kleine Scheidegg. Base 796 m is Lauterbrunnen station; village 1638 m
54441499-cf6e-464a-aee4-14c9066e198a	Lauterbrunnen	Jungfrau Region										NOT_A_SKI_RESORT - valley-floor village (796 m); transport base for Wengen and Mürren, no ski area of its own
797f974b-b55f-46cf-8244-3d1248682c34	Gstaad	Saanenland	Bergbahnen Destination Gstaad AG	https://www.gstaad.ch	3016	1050		44	200	11-27	04-04	Shared Gstaad region (one pass, 9 sectors, not all lift-connected). Top 3016 m is Glacier 3000
4e096ac2-15f3-4678-8ab5-dac15cc43c9f	Saanen	Saanenland	Bergbahnen Destination Gstaad AG	https://www.gstaad.ch	3016	1011		44	200	11-27	04-04	Shared Gstaad region figures; Saanen's local sector is Eggli / La Videmanette (58 km, 9 lifts)
4d0a2493-9148-424d-8d9b-4f89ab7704f9	Schönried	Saanenland	Bergbahnen Destination Gstaad AG	https://www.gstaad.ch	3016	1231		44	200	11-27	04-04	Shared Gstaad region figures; Schönried's local sectors are Horneggli and Rellerli
579aefe6-fd6b-49c5-8e9e-39a079a58659	Zweisimmen	Simmental	Bergbahnen Destination Gstaad AG	https://bergbahnen-gstaad.ch	2011	948		16	88.9	11-27	04-04	Rinderberg/Saanerslochgrat/Horneggli sector serving Zweisimmen/Saanenmöser/Schönried/St. Stephan
0b1d5b04-22da-48a2-967c-cbc28e7cf5f6	Lenk	Simmental	Bergbahnen Adelboden-Lenk AG	https://betelberg.ch	2001	1083		11	42	12-15	04-05	Betelberg sector; former Lenk Bergbahnen merged into Bergbahnen Adelboden-Lenk AG in 2023/24
0791db43-d986-42ef-a247-46b0da5b8021	Adelboden		Bergbahnen Adelboden-Lenk AG	https://www.adelboden-lenk.ch	2200	1260		22	86	11-28	04-11	Chuenisbärgli/Silleren/Hahnenmoos/Metsch sector, incl. the Chuenisbärgli World Cup slope
7c2df3aa-9547-40c5-a839-8c7382353662	Kandersteg	Kandertal	Gondelbahn Kandersteg-Oeschinensee AG	https://www.oeschinensee.ch	1730	1200		6	13	12-15	03-15	Oeschinensee sector; small standalone area, not part of a larger domain
8b6163c0-29c3-4a62-9e6c-3926a5a392f5	Meiringen	Haslital	Bergbahnen Meiringen-Hasliberg AG	https://www.meiringen-hasliberg.ch	2433	1065		13	60	12-15	04-05	Shared domain with Hasliberg; Meiringen town (~595 m) connects via gondola
4c982ac5-85e6-4aa7-aee5-7906c1e758f9	Hasliberg	Haslital	Bergbahnen Meiringen-Hasliberg AG	https://www.meiringen-hasliberg.ch	2433	1065		13	60	12-15	04-05	Same connected Meiringen-Hasliberg domain
b6854f15-652d-4f41-999b-d384fb496d00	Grimmialp	Niedersimmental	Grimmialpbergbahnen Diemtigtal AG	https://www.grimmialp.ch	1833	1233		3	7.2	12-15	03-15	Small family area in the Diemtigtal nature park, near Schwenden
ca8f664b-8bd7-40bf-8015-54d08ce5dcca	Frutigen		Elsigenalpbahnen AG	https://elsigen-metsch.ch	2289	1334		11	30	11-15	04-05	Elsigen-Metsch sector; accessed from Achseten near Frutigen, not from the town itself
d23ee1cd-1ec3-4892-9ca8-fb800c323ca9	Beatenberg		Niederhornbahn AG	https://www.niederhorn.ch	1945	1127		3	5	12-15	03-15	Small Niederhorn family area above Beatenberg
2d459c55-d49a-4002-8bc5-b2a7534d85f9	Grimsel	Haslital high										NOT_A_SKI_RESORT - mountain pass road under winter closure; no lifts
056411c3-f66e-4bc6-853d-f7d670541a56	Sustenpass											NOT_A_SKI_RESORT - mountain pass road under winter closure; no lifts
9e2f63b5-5f8e-4114-ac86-c1c9e643fe1b	Lötschental		Lauchernalp Bergbahnen AG	https://www.loetschental.ch	3100	1403	12	6	37.5	12-15	04-15	Valley of several villages; the Lauchernalp domain is accessed by cable car from Wiler
f6aed16f-e5f4-4a61-b7f3-9edf304399ed	Blatten	Lötschental										NOT_A_SKI_RESORT - no lifts of its own (valley skiing is via Lauchernalp from Wiler); village largely destroyed by the May 2025 rockslide
9b08079a-9b73-4e0c-b4ca-a8a40c4f933c	Leysin	Alpes Vaudoises	Télé Leysin-Col des Mosses-La Lécherette SA (TLML)	https://www.tlml.ch	2198	1250		12	60	11-25	04-15	Leysin sector; bus-linked to Les Mosses-La Lécherette for a combined ~100 km
958e98c8-d45b-444e-8235-10a1ed07ef3e	Villars-sur-Ollon	Alpes Vaudoises	Télé Villars-Gryon-Diablerets SA (TVGD)	https://www.villars.ch	2120	1224		30	87	12-05	04-15	Connected Villars-Gryon-Les Diablerets domain; TVGD markets 100+ km, measured 87 km
14ebed62-2769-4918-ad7e-e45392487515	Gryon	Alpes Vaudoises	Télé Villars-Gryon-Diablerets SA (TVGD)	https://www.tvgd.ch	2120	1224		30	87	12-05	04-12	Gryon village 1130 m, gondola base at Barboleuse; figures are the whole connected domain
223e051c-6e5f-4b7a-9859-af72b224482e	Château-d'Oex											NOT_A_SKI_RESORT - La Braye closed since 2018 (commune withdrew subsidies), Monts Chevreuils abandoned 2024; only a snow garden and sledging today
