uuid	name	kind	tier	canton	region	latitude	longitude	name_alt	operator_name	website	why_it_matters	top_elevation_m	base_elevation_m	num_runs	num_lifts	total_piste_km	typical_season_open	typical_season_close	note
cb1919a0-e042-4f21-9ae1-b1a47abf8dc6	Saas-Almagell	RESORT	STANDARD	VS	CH-4223			Saas Valley		https://www.saas-fee.ch		2347	1684		7	15.4	12-19	04-04	Small local Heidbodme area; operating company name unconfirmed
28c56f6f-ecdd-4b64-8709-bf588230d2ea	Crans-Montana	RESORT	CORE	VS	CH-4121				Crans-Montana Aminona SA (CMA)	https://www.crans-montana.ch		2927	1510		24	140	11-28	04-04	
46b0c7c5-2899-4507-9f87-65e36f2c3cde	Leukerbad	RESORT	STANDARD	VS	CH-4211				My Leukerbad AG	https://leukerbad.ch		2610	1411		13	47.5	12-05	04-11	Torrent-Bahnen area; separate Gemmi-Bahnen AG runs the Gemmi cable car
c8c3de47-8ec3-45c3-9a3b-647d96f880c5	Grimentz	RESORT	CORE	VS	CH-4124			Val d'Anniviers	Remontées Mécaniques de Grimentz-Zinal SA	https://www.valdanniviers.ch		2900	1570		21	115	11-28	04-18	Shared combined Grimentz-Zinal ski area
b2b8ceb0-4b0f-455c-8d32-7dcc413e82f8	Zinal	RESORT	CORE	VS	CH-4124			Val d'Anniviers	Remontées Mécaniques de Grimentz-Zinal SA	https://www.valdanniviers.ch		2900	1675		21	115	11-28	04-18	Shared combined Grimentz-Zinal ski area
e4cd30a7-5578-45d7-98fd-278f3ae0163b	Vercorin	RESORT	STANDARD	VS	CH-4124			Val d'Anniviers	Télécabine de Vercorin SA	https://www.vercorin.ch		2374	1340		10	35	11-28	04-18	Independent area, not lift-connected to Grimentz-Zinal
a5a714f8-1e4e-4e6c-8812-b964f677e3f5	St-Luc	RESORT	STANDARD	VS	CH-4124			Val d'Anniviers	Funiculaire St-Luc - Chandolin SA	https://www.stluc-chandolin.ch		3000	1680	31	15	60	12-18	04-11	Shared St-Luc/Chandolin domain; figures are domain-wide
74e2b3bc-8e84-4396-81ca-108bd09cd774	Chandolin	RESORT	STANDARD	VS	CH-4124			Val d'Anniviers	Funiculaire St-Luc - Chandolin SA	https://www.stluc-chandolin.ch		3000	1936	31	15	60	12-18	04-11	Shared St-Luc/Chandolin domain; figures domain-wide, base = Chandolin village 1936 m
32765e7a-1146-466a-9c07-1efbdac7958f	Arolla	RESORT	CORE	VS	CH-4123				Remontées Mécaniques des Fontanesses SA	https://www.evolene-region.ch		2877	1984	17	6	26.7	12-12	04-18	Espace Dent-Blanche is a shared PASS, not a connected domain; figures are Arolla only
18fbdc9c-531d-41a0-93ac-7ac24b11c99c	Les Haudères	RESORT	MINOR	VS	CH-4122			Val d'Hérens	Evolène Région Tourisme	https://www.evolene-region.ch		1447	1441	1	1	0.1	12-13	03-15	Only lift is the Homazo baby lift; the real nearby area is La Forclaz/La Sage
2a79226c-eeb3-4df1-8bee-54c6fa00618a	Evolène	RESORT	STANDARD	VS	CH-4122			Val d'Hérens	Télé-Evolène SA	https://www.evolene-region.ch		2632	1404	15	5	41.1	12-19	03-21	Lannaz-Chemeuille sector of Espace Dent-Blanche; not lift-connected to Arolla
f5d9412f-3d79-4c20-9e42-9d9d7feda5f1	Riederalp	RESORT	CORE	VS	CH-4214			Aletsch Arena	Aletsch Bahnen AG	https://www.aletscharena.ch		2869	1925		35	104	12-05	04-03	Sector of the connected Aletsch Arena domain; run count not published by operator
60794e7d-402d-495b-831d-cc878b7c6477	Bettmeralp	RESORT	CORE	VS	CH-4214			Aletsch Arena	Aletsch Bahnen AG	https://www.aletscharena.ch		2869	1948		35	104	12-05	04-03	Sector of the connected Aletsch Arena domain; run count not published by operator
35f6b0c1-5872-4000-b2a5-31fda7be73f0	Fiescheralp	RESORT	STANDARD	VS	CH-4214			Aletsch Arena	Aletsch Bahnen AG	https://www.aletscharena.ch		2869	2212		35	104	12-05	04-03	Sector of the connected Aletsch Arena domain; Eggishorn cableway starts here
ef6b7fb9-2000-4069-ad5b-cdff0cf340c8	Turtmann	TOURING_TERRAIN	STANDARD	VS	CH-4212			Turtmanntal											side valley; the Turtmann-Unterems-Oberems cableway is public transport, no pistes
2cc5cc84-b1c9-4c0d-a75e-7e67954ce5c9	Brig	RESORT		VS	CH-4231			Simplon north											NOT_A_SKI_RESORT - Rhône valley town (~680 m), rail/road gateway, no lifts
078312df-9387-40f0-9cda-ee228789efd7	Simplon village	RESORT		VS	CH-4232			Simplon south											NOT_A_SKI_RESORT - Simplon Dorf has no lifts; nearest area is Rothwald/Wasenalp
9eb3d919-1c3e-48c1-86d8-cf821f3c213f	Reckingen	RESORT	MINOR	VS	CH-4244			Goms	Skilift Gluringen AG	https://www.skilift-gluringen.ch		1445	1333		2	1.2			Village beginner lift (stands at Gluringen); season dates not published. Goms is mainly cross-country
36503a41-8ed0-492d-af8a-0a4ce135223e	Münster	RESORT	MINOR	VS	CH-4243			Goms	Skilift Münster-Geschinen AG	https://www.skilift-muenster-geschinen.ch		1645	1363		2	3	12-13	03-22	Small beginner/family area with lifts at Münster and Geschinen
605263a8-d26e-449a-80f5-335283234d78	Ulrichen	RESORT		VS	CH-4244			Goms											NOT_A_SKI_RESORT - cross-country/biathlon hub, no alpine lifts
34361709-215a-48a6-a0e6-336836d97c76	Obergoms	RESORT	MINOR	VS	CH-4244			Goms upper	Skilift Oberwald	https://www.goms.ch		1404	1373		1	0.2			Municipality (Oberwald/Obergesteln/Ulrichen); only the village Skilift Oberwald. Hungerberg closed 2009
b145ab2a-3baf-44f0-b29e-11f4d9fe1fdf	Binntal	TOURING_TERRAIN	STANDARD	VS	CH-4242														nature park valley; only a ~300 m village drag lift at Binn
e1b57e17-6684-4e16-94e3-a613fea77165	Champéry	RESORT	CORE	VS	CH-1312			Portes du Soleil	Portes du Soleil Suisse SA	https://www.regiondentsdumidi.ch		2254	1050	286	196	600	12-15	04-15	Domain-wide Portes du Soleil (CH+FR) figures; local Planachaux sector tops ~2277 m
8fabb954-402d-4c37-90f4-e95eeb704e82	Morgins	RESORT	STANDARD	VS	CH-1312			Portes du Soleil	Portes du Soleil Suisse SA	https://www.regiondentsdumidi.ch		2254	1350	286	196	600	12-15	04-15	Domain-wide Portes du Soleil figures; local La Foilleuse sector tops ~2000 m
19603044-00c3-4f50-8d52-484d27f52b24	Torgon	RESORT	STANDARD	VS	CH-1311				SETT Sàrl	https://www.torgon.ch		2254	1085	286	196	600	12-15	04-15	Domain-wide Portes du Soleil figures; Torgon sector is small (~4 lifts). Télé-Torgon SA went bankrupt, lifts bought by SETT Jan 2025
633a764c-08e0-4fcf-b69b-da70de27c3e0	Mountet	TOURING_TERRAIN	STANDARD	VS	CH-4125			Zinal hut											Cabane du Grand Mountet, SAC mountaineering hut at 2886 m
3d54498b-b60d-4908-bd1c-860491ab0669	Monte Rosa	TOURING_TERRAIN	STANDARD	VS	CH-4224			Zermatt high											glacier/massif above Zermatt, touring terrain; lift access via Zermatt Bergbahnen
cdc7103d-85c9-45c4-8914-1821ab1f5b00	Mattmark	TOURING_TERRAIN	STANDARD	VS	CH-4225			Saas high											reservoir and dam above Saas-Almagell, road closed in winter
d2358429-765b-40be-b998-02c6cfe164df	Stalden	RESORT		VS	CH-4221			untere Vispertäler											NOT_A_SKI_RESORT - valley village (~800 m) at the Matter/Saas junction, no lifts
fd2b3960-7d91-4359-883e-8bb3afba4e88	Fully	RESORT		VS	CH-4114			Isérables											NOT_A_SKI_RESORT - Rhône valley wine commune (~460 m), no ski area
2d7b1d1c-545d-4bc1-83fc-6eefdd1acadf	Nendaz lower	RESORT		VS	CH-4121			Sion area											NOT_A_SKI_RESORT - Basse-Nendaz sits below the ski area; lifts start at Haute-Nendaz/Siviez
d939a001-6e76-414b-8487-ed1de9ab8ca5	Goms	RESORT		VS	CH-4242			Münster-Goms	Skilift Münster-Geschinen AG	https://www.skilift-muenster-geschinen.ch		1645	1363		2	3	12-20	03-23	NOT_A_SKI_RESORT - merged into Münster (SNOW-544). Goms is primarily cross-country (~100 km loipe); figures are its one small alpine area. Duplicates the Münster row
bb1be8b8-66a6-42b7-99da-1fd35c1e2a81	Génépy	TOURING_TERRAIN	STANDARD	VS	CH-4112														no lift-served area under this name; high alpine terrain
8b338bc5-43c6-427d-8c14-6e29913f303a	Val d'Entremont	RESORT	STANDARD	VS	CH-4113			Grand-St-Bernard	Télés Vichères-Liddes	https://vicheres.ch		2267	1595		4	15	12-15	03-25	Vichères-Liddes is the only lift-served area in Val d'Entremont; Grand-St-Bernard pass has none
1e056210-9479-4673-a6c3-368e7c15f1bb	St. Moritz	RESORT	CORE	GR	CH-7114			Upper Engadin	Engadin St. Moritz Mountains AG	https://www.stmoritz.com		3057	1772		23	155	11-28	04-04	Corviglia-Marguns-Piz Nair sector; village 1822 m, lift base 1772 m
5832b6be-1241-4d7d-8dcf-5109f49d9cd6	Pontresina	RESORT	STANDARD	GR	CH-7114			Upper Engadin	Diavolezza Lagalb AG	https://www.pontresina.ch		3006	2093		5	35	10-17	05-02	Pontresina village (1805 m) has no area of its own; its skiing is Diavolezza + Lagalb in Val Bernina
4b0941b3-4293-4343-896a-03cd606bd744	Sils-Maria	RESORT	STANDARD	GR	CH-7114			Upper Engadin	Corvatsch AG	https://www.corvatsch-diavolezza.ch		3303	1797	26	14	120	11-21	04-25	Village on the shared Corvatsch/Furtschellas domain; Furtschellas cable car departs Sils
9cf90fc9-46b0-4ce3-bf4c-5dc9cabd2374	Silvaplana	RESORT	STANDARD	GR	CH-7114			Upper Engadin	Corvatsch AG	https://www.corvatsch-diavolezza.ch		3303	1815	26	14	120	11-21	04-25	Shared Corvatsch/Furtschellas domain; lift base at Surlej 1870 m
40e0a460-49ee-4a24-8708-9ec545445088	Celerina	RESORT	STANDARD	GR	CH-7114			Upper Engadin	Engadin St. Moritz Mountains AG	https://www.mountains.ch		3057	1730	38	24	155	11-28	04-04	Own lift into the Corviglia/Marguns domain shared with St. Moritz
f2629ed9-dd68-4f70-bfef-4b2a0d184108	Corvatsch	RESORT	CORE	GR	CH-7111			Upper Engadin	Corvatsch AG	https://www.corvatsch-diavolezza.ch		3303	1870	26	14	120	11-21	04-25	Corvatsch (Silvaplana-Surlej) run as one domain with Furtschellas; 3303 m is the highest lift point in Graubünden
921ae01c-f7ec-4c11-a78d-bcdcf4c5f03e	Diavolezza	RESORT	CORE	GR	CH-7112			Upper Engadin	Diavolezza Lagalb AG	https://www.corvatsch-diavolezza.ch		2978	2093		4		10-17	05-02	Diavolezza sector only; piste km not published per sector (Diavolezza+Lagalb combined = 35 km / 5 lifts)
29e257f8-af9a-4778-b88e-2a7f57d50b0e	Bernina Pass	TOURING_TERRAIN	STANDARD	GR	CH-7112														road/rail pass (2328 m); the lift areas nearby are Diavolezza and Lagalb
43e828fc-dcc0-4136-bebc-9d6be9111dac	Zuoz	RESORT	STANDARD	GR	CH-7113			Lower Engadin	Sessel- und Skilifte Zuoz AG	https://www.zuozski.ch		2465	1716	11	5	15	12-19	03-14	Small local Pizzet/Albanas area, unconnected. Zuoz is Upper, not Lower, Engadin
a72da63f-6c7c-4723-8b82-a05e55b8790b	Zernez	RESORT		GR	CH-7113			Lower Engadin											NOT_A_SKI_RESORT - no lifts; cross-country centre and Swiss National Park gateway
0b70683f-96d6-41d7-82c6-d83d17aed6f4	La Punt	RESORT	MINOR	GR	CH-7113			Lower Engadin	Skilift Müsella La Punt-Chamues-ch	https://www.engadin.ch		1787	1698		2	1			Not a resort: one 1 km beginner slope, 2 practice lifts. Roughly mid-Dec to mid-Mar; dates not published
0e5df28c-c20d-45f0-986a-300855effe0b	Val Chamuera	TOURING_TERRAIN	STANDARD	GR	CH-7115			Samedan area											side valley above La Punt/Madulain, ski touring only
04f0cd24-b0d4-4289-8c32-4184cc725dc6	Scuol	RESORT	CORE	GR	CH-7123			Lower Engadin	Bergbahnen Scuol AG	https://www.bergbahnen-scuol.ch		2785	1250	25	12	70	12-13	04-12	Motta Naluns; access from Scuol, Ftan and Sent. Some sources quote 80 km incl. valley runs
aa34104c-a8cf-4033-a65a-5298ef9ff0ff	Ftan	RESORT	STANDARD	GR	CH-7123			Lower Engadin	Bergbahnen Scuol AG	https://www.bergbahnen-scuol.ch		2785	1648	25	12	70	12-13	04-12	Village on the Motta Naluns domain via the Ftan-Prui chairlift
95f516ff-b882-4fc3-8471-32e020104339	Samnaun	RESORT	CORE	GR	CH-7121				Bergbahnen Samnaun AG	https://www.samnaun.ch		2872	1840	78	45	239	11-26	05-02	Swiss side of the cross-border Silvretta Arena Samnaun/Ischgl; figures are the whole binational domain
51a404d8-4ff6-45a3-8144-0c80a20d8979	Ischgl (CH side)	RESORT		GR	CH-7121			Samnaun	Silvrettaseilbahn AG	https://www.ischgl.com		2872	1377	78	45	239	11-26	05-02	NOT_A_SKI_RESORT - merged into Samnaun (SNOW-544). DUPLICATE of Samnaun - same domain from the Austrian side. Ischgl (1377 m) is in Tyrol, AT. Do not sum with Samnaun
e5acc8aa-e371-4db2-992e-b169e91277dc	östliche Silvretta	TOURING_TERRAIN	STANDARD	GR	CH-7122														regional touring/avalanche-bulletin label, not a lift-served area
614ebf8f-92ee-4a82-ae97-e8b0642dff44	Val dal Spöl	TOURING_TERRAIN	STANDARD	GR	CH-7125			Swiss Nat. Park											inside Swiss National Park; skiing and off-path travel prohibited
ee7e9261-4f1e-44bc-9442-d189770dbff8	Val S-charl	TOURING_TERRAIN	STANDARD	GR	CH-7126			Lower Engadin											quiet side valley south of Scuol, touring and snowshoeing only
29beaae9-f665-4c5c-94da-b0f43f92d40f	Val Suot	TOURING_TERRAIN	STANDARD	GR	CH-7124			Scuol area											side valley in the Scuol/Zernez area, touring terrain only
9e8890d8-ecac-44ae-a616-544c0492e915	Münstertal	RESORT	STANDARD	GR	CH-7231			Val Müstair	Sportanlagen AG Val Müstair	https://www.minschuns.ch		2700	2150		4	25	12-19	03-21	Minschuns area above Tschierv; lift base Alp da Munt 2150 m, valley villages 1250-1660 m
2f5d441a-c356-4d91-96c4-6b4e5fd023f1	Santa Maria VM	RESORT	STANDARD	GR	CH-7231			Val Müstair	Sportanlagen AG Val Müstair	https://www.val-muestair.ch		2700	1386		4	25	12-19	03-21	Village (1386 m) with no lifts of its own; figures are the shared Minschuns area
a28c35ce-b660-422b-b3f2-9af56b2f8144	Poschiavo	RESORT	MINOR	GR	CH-7222			Valposchiavo		https://valposchiavo.ch					1				Valley town (~1014 m) with only a small children's tow at Viale; no marked ski area
2257396d-83be-4b42-a2f6-171445f817cc	oberes Puschlav	TOURING_TERRAIN	STANDARD	GR	CH-7221			Livigno area											upper Val Poschiavo/Bernina area; touring and cross-country only, Livigno's lifts are in Italy
c68d26de-f28f-4cf5-8c4b-025209568bba	Bergell	RESORT	MINOR	GR	CH-7211			Val Bregaglia	Bregaglia Engadin Turismo	https://www.bregaglia.ch		1601	1471	1	1	0.6	12-26	03-15	Val Bregaglia is mostly touring; only lift-served skiing is the Sur Cresta tow at Casaccia
47a8493c-1e5a-47ac-b8c5-d47846c5f357	Maloja	RESORT	MINOR	GR	CH-7211			Bergell	Bregaglia Engadin Turismo	https://www.bregaglia.ch		2100	1817	2	2	3	12-19	03-07	Small Aela T-bar plus pony lift. Operator announced Aela stays closed for winter 2026/27 for maintenance
cfb1b956-4051-4c28-b5b9-88a0067cc6e5	Davos	RESORT	CORE	GR	CH-5123			Davos Klosters	Davos Klosters Bergbahnen AG	https://www.davos.ch		2844	1560		57	300	11-07	04-11	Operator figures for the whole Davos Klosters network (Parsenn, Jakobshorn, Rinerhorn, Pischa, Schatzalp, Madrisa)
e2b9b0bc-c32d-4118-8a61-0b6fb338bc35	Klosters	RESORT	CORE	GR	CH-5112			Davos Klosters	Davos Klosters Bergbahnen AG	https://www.davos.ch		2844	1191		57	300	11-07	04-11	Same network/pass as Davos; Klosters' own mountains are Madrisa (26 km, 9 lifts) and Gotschna
6c9af0f7-a50c-4a03-8eb3-c63958aa13fa	Parsenn	RESORT	CORE	GR	CH-5123			Davos Klosters	Davos Klosters Bergbahnen AG	https://www.davosklostersmountains.ch		2844	810		18	95.5	11-07	04-11	Sector, not a standalone resort. Base 810 m is Küblis, foot of the 12 km Weissfluhgipfel-Küblis run
b636f01d-9ea0-4bc0-b64b-e7cd144faaf7	Arosa	RESORT	CORE	GR	CH-5122			Arosa Lenzerheide	Arosa Bergbahnen AG	https://arosalenzerheide.swiss		2653	1775	17	14	70	11-29	04-12	Arosa sector only; linked to Lenzerheide by the Urdenbahn (combined domain 225 km / 43 lifts)
2c2224c1-489f-465f-9af5-88f6bd3239d5	Lenzerheide	RESORT	CORE	GR	CH-5221			Arosa Lenzerheide	Lenzerheide Bergbahnen AG	https://arosalenzerheide.swiss		2865	1470	58	29	155	11-29	04-12	Lenzerheide sector (includes Churwalden lifts); combined Arosa Lenzerheide domain 225 km / 43 lifts
4fb3f3c9-8c22-48b8-b59c-8552cd18b4d8	Churwalden	RESORT	STANDARD	GR	CH-5221				Lenzerheide Bergbahnen AG	https://arosalenzerheide.swiss		2865	1229	58	29	155	11-29	04-12	Churwalden (1229 m) is the lowest base of the Lenzerheide domain
29d58cbc-76ee-4ef7-86fb-fed0be667c82	Küblis	RESORT		GR	CH-5112			Prättigau											NOT_A_SKI_RESORT - valley village and rail stop; finish of the Parsenn descent. Madrisa's lifts start at Klosters Dorf
0eeb9249-1c61-46eb-8db2-e9bab288992c	Schiers	RESORT		GR	CH-5111			Prättigau											NOT_A_SKI_RESORT - valley town; the Schiers-Stels cableway is public transport, not a ski lift
1e36f1f3-3181-44ab-bff0-c60b00a899b6	Conters	TOURING_TERRAIN	STANDARD	GR	CH-5112			südl. Prättigau											small village, no lifts; nearest are Pany-Luzein and Grüsch Danusa
186c3955-ab02-4dd7-b67d-c45a9bbada2b	westl. Silvretta	TOURING_TERRAIN	STANDARD	GR	CH-5113			Prättigau											regional ski-touring / avalanche-bulletin label, not a resort
34693526-1076-4f89-8a58-06ad1a54d88b	Flims	RESORT	CORE	GR	CH-5124			Flims Laax	Weisse Arena Bergbahnen AG	https://www.laax.com		3018	1100	55	30	216	11-28	04-11	Village of the connected Flims Laax Falera domain; figures are domain-wide
4d8ef9bc-8222-4d75-be92-2aff7f444897	Laax	RESORT	CORE	GR	CH-5124			Flims Laax	Weisse Arena Bergbahnen AG	https://www.laax.com		3018	1100	55	30	216	11-28	04-11	Village of the connected Flims Laax Falera domain; other databases quote 224 km / 28 lifts
bf1c87fb-50fc-4bdd-af15-7041dedc5ef2	Falera	RESORT	STANDARD	GR	CH-5211			Flims Laax	Weisse Arena Bergbahnen AG	https://www.laax.com		3018	1100	55	30	216	11-28	04-11	Village of the connected Flims Laax Falera domain; Falera village sits at ~1220 m
83a7bf69-1971-4f7e-a110-994c4e90fe36	Disentis	RESORT	CORE	GR	CH-5212			Disentis/Mustér	Bergbahnen Disentis AG	https://www.disentis.fun		2833	1227	21	12	60	11-28	04-06	Disentis 3000; daily operation from ~12-20. Separate, unconnected domain from Sedrun
6fd137fc-278d-4930-bd44-5766ff661281	Obersaxen	RESORT	STANDARD	GR	CH-5214				Bergbahnen Obersaxen Mundaun AG	https://www.obersaxen-mundaun.ch		2310	1201	49	15	120	12-06	04-06	Obersaxen Mundaun Val Lumnezia; Graubünden Tourism quotes 117 km, operator ~120 km
5ac9177a-51c2-486c-b4d3-899e61248a38	Safiental	RESORT	MINOR	GR	CH-5214				Genossenschaft Skilift Tenna	https://solar-skilift.ch		1791	1656		1	4	12-20	03-08	Only lift-served skiing in Safiental is the single Tenna solar ski lift; rest of the valley is touring
0b87990f-145c-4463-bfeb-f7ad24589bd3	Vals	RESORT	STANDARD	GR	CH-5215				Sportbahnen Vals AG	https://vals.ch		2851	1250	10	6	25	12-19	04-04	Vals-Dachberg; gondola Vals-Gadastatt plus drag lifts
73e0a5b2-5330-4039-a932-4b1b1d17a564	Zervreila	TOURING_TERRAIN	STANDARD	GR	CH-5216														reservoir and hamlet at the head of the Valsertal; nearest lifts are Vals-Dachberg
9a9c96af-1564-43ac-b924-c40f44af6597	Thusis	RESORT		GR	CH-5221			Domleschg											NOT_A_SKI_RESORT - valley town (~720 m); all nearby lifts are in Tschappina/Urmein on the Heinzenberg
101c4069-309e-4a02-aeb4-e6eb1a07bb17	Schams	TOURING_TERRAIN	STANDARD	GR	CH-5222			Viamala											no operating lift area (Zillis-Schamserberg defunct); sledging and winter hiking only
aa86cfde-2f39-416e-8aa9-8572d4845a7d	Splügen	RESORT	STANDARD	GR	CH-5223			Rheinwald	Bergbahnen Splügen-Tambo AG	https://www.spluegen.ch		2215	1484	14	7	30	12-19	04-04	Largest area in the Viamala/Rheinwald region. Graubünden Tourism quotes 6 lifts / 33 km
b7cbb696-32b0-4375-a77f-fbbe99cc4b3a	Hinterrhein	RESORT		GR	CH-5223			Rheinwald											NOT_A_SKI_RESORT - hamlet (~1620 m) at the head of the Rheinwald, cross-country only. Nearest area Splügen
0d1aa0d2-de02-446f-bf0a-cefd87faf7a7	Bivio	RESORT	CORE	GR	CH-5234				Bivio Sportanlagen AG	https://www.schneesportbivio.ch		2560	1769	14	4	27	12-19	04-11	Small independent area; official site claims 30+ km, databases give 27 km. Weekend-only in early Dec
cb5977be-952a-463a-84df-a331efafd26a	Avers	RESORT	CORE	GR	CH-5233			Cresta	Avers Skibetriebs AG	https://skiferien-graubuenden.ch		2539	1988		3	8	12-20	04-12	Very small high-altitude area at Avers-Juppa; mostly steep/ungroomed. Run count not published
64597f5e-8214-46b7-9446-4f5f262358bf	Savognin	RESORT	STANDARD	GR	CH-5232			Surses	Savognin Bergbahnen AG	https://www.valsurses.ch		2713	1200	25	12	70	12-06	04-06	Full resort in Surses/Parc Ela; skiresort.info gives 73.5 km / base 1168 m
32cf26e9-55a6-41c6-b0c6-5bf21ffbd066	Bergün	RESORT	STANDARD	GR	CH-5231			Albulatal	Bergün Filisur Tourismus AG	https://www.berguen-filisur.graubuenden.ch		2550	1384		5	25	12-20	03-15	Darlux plus village beginner lifts; partly weekend/holiday operation. Also the 6 km Preda-Bergün sledge run
f9333774-9ffa-439f-9a20-8df4f0539ae3	Filisur	RESORT		GR	CH-5231			Albulatal											NOT_A_SKI_RESORT - village (~1030 m) with no lifts; all lifts are at Bergün ~6 km away
aed8467e-cae9-4c42-8cd8-80510b9eb10f	Arosa east	RESORT		GR	CH-5121			Plessur	Arosa Bergbahnen AG	https://arosalenzerheide.swiss		2653	1775	17	16	70	11-29	04-12	NOT_A_SKI_RESORT - merged into Arosa (SNOW-544). Arosa east / Plessur' is a district label, not a distinct resort. DUPLICATE of the Arosa row
d48e011b-ff81-41f1-9985-a6513d1f523c	Ilanz	RESORT		GR	CH-5214			Vorderrhein											NOT_A_SKI_RESORT - valley town (~700 m) in the Surselva; gateway to Obersaxen-Mundaun and Val Lumnezia
7ba892a8-e129-46f5-9c95-fe1391e56efc	Grindelwald	RESORT	CORE	BE	CH-1242			Jungfrau Region	Jungfraubahnen	https://www.jungfrau.ch		2472	1034	59	22	103	11-29	04-26	Shares the Kleine Scheidegg/Männlichen domain with Wengen. Grindelwald-First is a separate area, not included
10f80c71-bc57-4b07-8e79-9affe54a51ac	Wengen	RESORT	CORE	BE	CH-1233			Jungfrau Region	Jungfraubahnen	https://www.jungfrau.ch		2472	1274	59	22	103	11-29	04-26	Same shared domain as Grindelwald; base given is Wengen village (domain low point is 1034 m)
1b199d73-600d-4921-9b15-4b45a6d67d9b	Mürren	RESORT	CORE	BE	CH-1233			Jungfrau Region	Schilthornbahn AG	https://muerren.swiss		2970	796		13	51	11-22	05-03	Separate Mürren-Schilthorn domain, NOT lift-connected to Kleine Scheidegg. Base 796 m is Lauterbrunnen station; village 1638 m
54441499-cf6e-464a-aee4-14c9066e198a	Lauterbrunnen	RESORT		BE	CH-1233			Jungfrau Region											NOT_A_SKI_RESORT - valley-floor village (796 m); transport base for Wengen and Mürren, no ski area of its own
797f974b-b55f-46cf-8244-3d1248682c34	Gstaad	RESORT	CORE	BE	CH-1222			Saanenland	Bergbahnen Destination Gstaad AG	https://www.gstaad.ch		3016	1050		44	200	11-27	04-04	Shared Gstaad region (one pass, 9 sectors, not all lift-connected). Top 3016 m is Glacier 3000
4e096ac2-15f3-4678-8ab5-dac15cc43c9f	Saanen	RESORT	STANDARD	BE	CH-1112			Saanenland	Bergbahnen Destination Gstaad AG	https://www.gstaad.ch		3016	1011		44	200	11-27	04-04	Shared Gstaad region figures; Saanen's local sector is Eggli / La Videmanette (58 km, 9 lifts)
4d0a2493-9148-424d-8d9b-4f89ab7704f9	Schönried	RESORT	STANDARD	BE	CH-1222			Saanenland	Bergbahnen Destination Gstaad AG	https://www.gstaad.ch		3016	1231		44	200	11-27	04-04	Shared Gstaad region figures; Schönried's local sectors are Horneggli and Rellerli
